"Name","X","Y","Total.capacity..m3.per.h.","Number.of.pumps","Pump.type","Discharge.into.freshwater.or.estuary.sea","Longitude","Latitude"
"Baasrode",135370,192804,14400,3,"centrifugal","estuary",4.16013758739681,51.0452187296446
"Baudouin",26825,194767,2700,1,"centrifugal","freshwater",2.61199269657219,51.0499591878997
"Benedenvliet",146987,202252,6480,4,"axial flow","freshwater",4.32571412470557,51.1303211110907
"Boekhoute",104189,218171,47520,5,"Archimedes screw","freshwater",3.71233059517901,51.271599628744
"Boezinge-Dorp",44344,176960,864,1,"centrifugal","freshwater",2.8669143210463,50.893381039066
"Boezinge-Sas",43177,178883,864,1,"centrifugal","freshwater",2.84977183717247,50.9104507421959
"Bosdam A",116569,204066,3000,1,"centrifugal","freshwater",3.89101687456571,51.1456702512775
"Bosdam B",116607,204092,3000,2,"axial flow","freshwater",3.89155750759346,51.1459061444008
"Bossuit",82539,160126,10980,4,"axial flow","freshwater",3.41283514310567,50.747749425107
"Bourgogne",54304,205670,0,1,"Archimedes screw","freshwater",3.00094346579479,51.1531369740404
"Bulskamp Nieuwegracht",29108,193974,6000,2,"axial flow","freshwater",2.64480423756166,51.0433136659656
"Burchtse Weel",149076,210831,10800,3,"axial flow","estuary",4.35553592627542,51.2074409453039
"Caemerlinckxcomplex",50088,212999,10800,2,"axial flow","sea",2.93868103711983,51.2182885077099
"Coudeville",43083,203956,108,1,"submersible pump","freshwater",2.84110472607438,51.1357678507708
"Daknamse Meersen",122774,201394,7200,3,"axial flow","freshwater",3.97988614496898,51.1219778495934
"Damse vaart",75234,217981,720,1,"Archimedes screw","freshwater",3.29751863265377,51.2668667289791
"Damsloot",109670,192115,9600,4,"centrifugal","estuary",3.793752456767,51.0378085295827
"De Gavergracht",114791,161403,900,2,"centrifugal","freshwater",3.86970132584171,50.7620667673038
"De Katte",64351,211981,6480,2,"Archimedes screw","freshwater",3.14303278813847,51.2114311672094
"De Steeger",61006,211169,12096,3,"Archimedes screw","freshwater",3.09537076981957,51.2036279211983
"De Wilde Speele",114489,204304,120,1,"submersible pump","freshwater",3.86127068492044,51.1476856385788
"De Zegge",187646,209934,3672,3,"axial flow","freshwater",4.90733710972298,51.1981485704437
"Denderbellebroek",129267,189397,21600,4,"axial flow","freshwater",4.07330503874352,51.0144076460801
"Destelbergen",110541,196052,1590,2,"Archimedes screw","freshwater",3.80574512650942,51.0732568411634
"D'Honden",129000,199659,720,2,"centrifugal","estuary",4.06891111263762,51.1066415576323
"Doeve 1",54230,205518,10800,2,"axial flow","freshwater",2.99992602623415,51.1517586844952
"Doeve 2",54231,205518,4320,1,"Archimedes screw","freshwater",2.99994031589757,51.1517588501062
"Eekhoven",156614,196045,12600,4,"Archimedes screw","estuary",4.46312735400829,51.0744969866496
"Eeklo's Leiken",92644,207632,9000,3,"axial flow","freshwater",3.54858044576259,51.1758449259755
"Egenhoven",170609,171304,2720,2,"submersible pump","freshwater",4.66141870414705,50.8517667728637
"Ertvelde Spiedam",107664,206380,29880,7,"axial flow","freshwater",3.76349733976108,51.1658863690958
"Esen",47523,192743,3600,1,"Archimedes screw","freshwater",2.90767828193815,51.0357991968616
"Etbos",118357,204405,517,1,"submersible pump","freshwater",3.91653786654994,51.1488178330195
"Gemalen van de Ledebeek",124863,198693,13200,6,"Archimedes screw","estuary",4.00990902357991,51.0977938818581
"Gespoelde put",137033,195263,1755,3,"axial flow","estuary",4.183764125159,51.0673619107392
"Gestelbeek",169490,201769,10080,2,"axial flow","freshwater",4.64715418856803,51.125657092329
"Gijzegem",128245,185131,9792,2,"axial flow","freshwater",4.05899452336708,50.9760230594357
"Goorbosbeek",157852,196259,10080,2,"axial flow","freshwater",4.48079634897856,51.0764050309249
"Greven",244197,187794,5200,8,"centrifugal","freshwater",5.71052961783637,50.9927084524837
"Groot Pontrave",129846,199293,720,2,"centrifugal","estuary",4.08101066104827,51.1033817088798
"Grootbroek",132542,192345,16200,3,"centrifugal","estuary",4.11983366697361,51.0410147283098
"Helderbeek",212378,193439,340,2,"axial flow","freshwater",5.25830708404829,51.0477462058137
"Hellestraat",142905,161955,300,1,"submersible pump","freshwater",4.26817504982868,50.7680472246661
