"Name","X","Y","Total.capacity..m3.per.h.","Number.of.pumps","Individual.capacity..m3.per.h.","Pump.type","name.water.body","Discharge.into.freshwater.or.estuary.sea","Longitude","Latitude"
"Perwijsbeek",159734,198195,1800,1,600,"centrifugal","Nete","estuary",4.5077026313168,51.0937786485894
"Perwijsbeek",159734,198195,1800,1,600,"centrifugal","Nete","estuary",4.5077026313168,51.0937786485894
"Perwijsbeek",159734,198195,1800,1,600,"centrifugal","Nete","estuary",4.5077026313168,51.0937786485894
"Eekhoven",156619,196049,12600,1,1800,"Archimedes screw","Nete","estuary",4.46319876948208,51.0745328845441
"Eekhoven",156619,196049,12600,1,3600,"Archimedes screw","Nete","estuary",4.46319876948208,51.0745328845441
"Eekhoven",156619,196049,12600,1,3600,"Archimedes screw","Nete","estuary",4.46319876948208,51.0745328845441
"Eekhoven",156619,196049,12600,1,3600,"Archimedes screw","Nete","estuary",4.46319876948208,51.0745328845441
"Sint-Annapolder",100242,217566,400,1,400,"submersible pump","Leopoldkanaal","freshwater",3.65586032571349,51.2658352047143
"Voorde",114030,188125,2400,1,1200,"submersible pump","Zeeschelde","estuary",3.85630488328728,51.0022298468372
"Voorde",114030,188125,2400,1,1200,"submersible pump","Zeeschelde","estuary",3.85630488328728,51.0022298468372
"Denderbellebroek",129274,189396,21600,1,5400,"axial flow","Dender","freshwater",4.07340484573862,51.014398906839
"Denderbellebroek",129274,189396,21600,1,5400,"axial flow","Dender","freshwater",4.07340484573862,51.014398906839
"Denderbellebroek",129274,189396,21600,1,5400,"axial flow","Dender","freshwater",4.07340484573862,51.014398906839
"Denderbellebroek",129274,189396,21600,1,5400,"axial flow","Dender","freshwater",4.07340484573862,51.014398906839
"Gijzegem",128254,185144,9792,1,4896,"axial flow","Dender","freshwater",4.05912189867517,50.9761402542699
"Gijzegem",128254,185144,9792,1,4896,"axial flow","Dender","freshwater",4.05912189867517,50.9761402542699
"De Katte",64352,211976,6480,1,3240,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.14304827698318,51.2113863795084
"De Katte",64352,211976,6480,1,3240,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.14304827698318,51.2113863795084
"Kwetshage-Paddegat",59732,211051,12000,1,4000,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.07717450645527,51.2023697713408
"Kwetshage-Paddegat",59732,211051,12000,1,4000,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.07717450645527,51.2023697713408
"Kwetshage-Paddegat",59732,211051,12000,1,4000,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.07717450645527,51.2023697713408
"De Steeger",61005,211184,12096,1,4032,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.09535278544036,51.2037625740501
"De Steeger",61005,211184,12096,1,4032,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.09535278544036,51.2037625740501
"De Steeger",61005,211184,12096,1,4032,"Archimedes screw","Kanaal Van Gent Naar Oostende","freshwater",3.09535278544036,51.2037625740501
"Waasmunster",127814,199114,6480,1,2160,"axial flow","Benedendurme","estuary",4.05201033247269,51.1016985515554
"Waasmunster",127814,199114,6480,1,2160,"axial flow","Benedendurme","estuary",4.05201033247269,51.1016985515554
"Waasmunster",127814,199114,6480,1,2160,"axial flow","Benedendurme","estuary",4.05201033247269,51.1016985515554
"Grootbroek",132542,192344,16200,1,5400,"centrifugal","Zeeschelde","estuary",4.11983371463967,51.0410057393843
"Grootbroek",132542,192344,16200,1,5400,"centrifugal","Zeeschelde","estuary",4.11983371463967,51.0410057393843
"Grootbroek",132542,192344,16200,1,5400,"centrifugal","Zeeschelde","estuary",4.11983371463967,51.0410057393843
"Gespoelde put",137028,195266,1755,1,585,"axial flow","Zeeschelde","estuary",4.18369268758355,51.0673887657648
"Gespoelde put",137028,195266,1755,1,585,"axial flow","Zeeschelde","estuary",4.18369268758355,51.0673887657648
"Gespoelde put",137028,195266,1755,1,585,"axial flow","Zeeschelde","estuary",4.18369268758355,51.0673887657648
"Oud-veerstraat",146859,206295,2040,1,1020,"axial flow-closed","Akkersbeek","freshwater",4.32385119008906,51.1666614817114
"Oud-veerstraat",146859,206295,2040,1,1020,"axial flow-closed","Akkersbeek","freshwater",4.32385119008906,51.1666614817114
"Seine",25205,191884,4200,1,2100,"Archimedes screw","Ringsloot","freshwater",2.58988101325671,51.0237047350325
"Seine",25205,191884,4200,1,2100,"Archimedes screw","Ringsloot","freshwater",2.58988101325671,51.0237047350325
"Sint-Karelsmolen",26824,194766,4200,1,2100,"Archimedes screw","Ringsloot","freshwater",2.61197877680519,51.0499499888918
"Sint-Karelsmolen",26824,194766,4200,1,2100,"Archimedes screw","Ringsloot","freshwater",2.61197877680519,51.0499499888918
